match_id,date,year,format,team,opponent,competition,stage,venue,city,result,winner,margin,margin_type,player_of_match,india_players
565816,2013-01-27,2013,ODI,India,England,England in India ODI Series,,Himachal Pradesh Cricket Association Stadium,Dharamsala,Lost,England,7.0,wickets,IR Bell,"G Gambhir, RG Sharma, V Kohli, Yuvraj Singh, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, Mohammed Shami, I Sharma"
598812,2013-02-22,2013,Test,India,Australia,Border-Gavaskar Trophy,,"MA Chidambaram Stadium, Chepauk",Chennai,Won,India,8.0,wickets,MS Dhoni,"M Vijay, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, MS Dhoni, RA Jadeja, R Ashwin, Harbhajan Singh, B Kumar, I Sharma"
598813,2013-03-02,2013,Test,India,Australia,Border-Gavaskar Trophy,,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Won,India,135.0,runs,CA Pujara,"M Vijay, V Sehwag, CA Pujara, SR Tendulkar, V Kohli, MS Dhoni, RA Jadeja, R Ashwin, Harbhajan Singh, B Kumar, I Sharma"
598814,2013-03-14,2013,Test,India,Australia,Border-Gavaskar Trophy,,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Won,India,6.0,wickets,S Dhawan,"M Vijay, S Dhawan, CA Pujara, SR Tendulkar, V Kohli, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, I Sharma, PP Ojha"
598815,2013-03-22,2013,Test,India,Australia,Border-Gavaskar Trophy,,Feroz Shah Kotla,Delhi,Won,India,6.0,wickets,RA Jadeja,"M Vijay, CA Pujara, V Kohli, SR Tendulkar, AM Rahane, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, I Sharma, PP Ojha"
578614,2013-06-06,2013,ODI,India,South Africa,ICC Champions Trophy,,Sophia Gardens,Cardiff,Won,India,26.0,runs,S Dhawan,"RG Sharma, S Dhawan, V Kohli, KD Karthik, MS Dhoni, SK Raina, RA Jadeja, R Ashwin, B Kumar, I Sharma, UT Yadav"
578619,2013-06-11,2013,ODI,India,West Indies,ICC Champions Trophy,,Kennington Oval,London,Won,India,8.0,wickets,RA Jadeja,"RG Sharma, S Dhawan, V Kohli, KD Karthik, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, I Sharma, B Kumar, UT Yadav"
578623,2013-06-15,2013,ODI,India,Pakistan,ICC Champions Trophy,,Edgbaston,Birmingham,Won,India,8.0,wickets,B Kumar,"RG Sharma, S Dhawan, V Kohli, KD Karthik, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, I Sharma, B Kumar, UT Yadav"
566947,2013-06-20,2013,ODI,India,Sri Lanka,ICC Champions Trophy,Semi Final,Sophia Gardens,Cardiff,Won,India,8.0,wickets,I Sharma,"RG Sharma, S Dhawan, V Kohli, SK Raina, KD Karthik, MS Dhoni, RA Jadeja, R Ashwin, I Sharma, B Kumar, UT Yadav"
566948,2013-06-23,2013,ODI,India,England,ICC Champions Trophy,Final,Edgbaston,Birmingham,Won,India,5.0,runs,RA Jadeja,"RG Sharma, S Dhawan, V Kohli, KD Karthik, SK Raina, MS Dhoni, RA Jadeja, R Ashwin, B Kumar, I Sharma, UT Yadav"
